Student,Class,Math_1,Math_2,Physics_1,Physics_2,Science_1,Science_2,Math,Physics,Science,Score
Student_42,ISEOC,7,8,7,20,13,17,7.5,13.5,15.0,12.0
Student_43,IDISC,7,11,6,0,17,1,9.0,3.0,9.0,7.0
Student_44,ISEOC,18,16,11,8,1,2,17.0,9.5,1.5,9.33
Student_45,ISEOC,15,13,7,16,15,16,14.0,11.5,15.5,13.67
Student_46,IDISC,15,16,17,6,5,5,15.5,11.5,5.0,10.67
Student_47,ISEOC,19,6,5,3,12,11,12.5,4.0,11.5,9.33
Student_48,IDISC,8,19,14,11,19,14,13.5,12.5,16.5,14.17
Student_49,IDL,12,15,6,7,20,6,13.5,6.5,13.0,11.0
Student_50,IDL,16,17,20,13,9,9,16.5,16.5,9.0,14.0
Student_51,IDISC,0,15,14,16,2,13,7.5,15.0,7.5,10.0
Student_52,IDISC,16,13,6,5,4,16,14.5,5.5,10.0,10.0
Student_53,IDISC,9,18,9,17,4,4,13.5,13.0,4.0,10.17
Student_54,ISEOC,11,12,2,3,10,0,11.5,2.5,5.0,6.33
Student_55,IDL,0,10,16,4,1,5,5.0,10.0,3.0,6.0
Student_56,ISEOC,4,4,15,5,9,16,4.0,10.0,12.5,8.83
Student_57,ISEOC,7,1,13,1,1,7,4.0,7.0,4.0,5.0
Student_58,ISEOC,19,9,12,11,17,7,14.0,11.5,12.0,12.5
Student_59,ISEOC,1,2,12,1,13,16,1.5,6.5,14.5,7.5
Student_60,IDISC,4,9,0,0,19,16,6.5,0.0,17.5,8.0
Student_61,ISEOC,8,12,7,12,11,17,10.0,9.5,14.0,11.17
Student_62,ISEOC,3,20,3,13,11,20,11.5,8.0,15.5,11.67
Student_63,ISEOC,18,3,1,1,2,13,10.5,1.0,7.5,6.33
Student_64,IDL,17,11,13,13,0,17,14.0,13.0,8.5,11.83
Student_65,IDISC,9,9,8,12,17,10,9.0,10.0,13.5,10.83
Student_66,ISEOC,12,9,10,19,9,16,10.5,14.5,12.5,12.5
Student_67,IDL,12,19,7,0,9,5,15.5,3.5,7.0,8.67
Student_68,IDISC,20,0,2,13,12,19,10.0,7.5,15.5,11.0
Student_69,ISEOC,9,18,16,17,2,8,13.5,16.5,5.0,11.67
Student_70,ISEOC,14,1,13,18,14,19,7.5,15.5,16.5,13.17
Student_71,IDISC,8,7,10,9,0,0,7.5,9.5,0.0,5.67
Student_72,IDISC,18,5,13,8,17,8,11.5,10.5,12.5,11.5
Student_73,IDISC,3,0,0,12,6,16,1.5,6.0,11.0,6.17
Student_74,IDISC,11,14,16,6,16,4,12.5,11.0,10.0,11.17
Student_75,ISEOC,17,16,18,4,4,19,16.5,11.0,11.5,13.0
Student_76,IDL,15,12,13,11,9,17,13.5,12.0,13.0,12.83
Student_77,IDISC,5,12,4,8,7,2,8.5,6.0,4.5,6.33
Student_78,IDL,8,9,19,11,19,4,8.5,15.0,11.5,11.67
Student_79,IDISC,14,3,19,20,12,14,8.5,19.5,13.0,13.67
Student_80,ISEOC,4,4,7,19,16,5,4.0,13.0,10.5,9.17
Student_81,IDL,12,11,4,16,3,3,11.5,10.0,3.0,8.17
Student_82,IDL,20,16,6,2,4,13,18.0,4.0,8.5,10.17
Student_83,IDL,19,10,0,15,17,8,14.5,7.5,12.5,11.5
Student_84,ISEOC,12,9,5,1,12,11,10.5,3.0,11.5,8.33
Student_85,ISEOC,8,18,3,3,10,11,13.0,3.0,10.5,8.83
Student_86,IDISC,2,9,4,14,16,9,5.5,9.0,12.5,9.0
Student_87,IDL,0,13,2,14,13,19,6.5,8.0,16.0,10.17
Student_88,IDL,17,5,15,5,2,12,11.0,10.0,7.0,9.33
Student_89,ISEOC,11,12,14,14,19,6,11.5,14.0,12.5,12.67
Student_90,IDL,2,18,6,10,12,6,10.0,8.0,9.0,9.0
Student_91,ISEOC,12,14,11,6,16,17,13.0,8.5,16.5,12.67
Student_92,IDISC,15,12,18,18,10,19,13.5,18.0,14.5,15.33
Student_93,IDISC,19,11,11,0,10,9,15.0,5.5,9.5,10.0
Student_94,IDISC,1,19,11,18,13,19,10.0,14.5,16.0,13.5
Student_95,IDL,16,18,18,5,17,18,17.0,11.5,17.5,15.33
Student_96,ISEOC,14,15,12,17,4,17,14.5,14.5,10.5,13.17
Student_97,ISEOC,2,2,0,6,14,3,2.0,3.0,8.5,4.5
Student_98,ISEOC,11,12,7,1,19,6,11.5,4.0,12.5,9.33
Student_99,IDL,2,17,0,2,9,13,9.5,1.0,11.0,7.17
Student_100,IDL,11,9,10,10,4,20,10.0,10.0,12.0,10.67
Student_101,ISEOC,19,5,17,15,18,16,12.0,16.0,17.0,15.0
Student_102,IDL,11,13,1,17,6,10,12.0,9.0,8.0,9.67
Student_103,ISEOC,13,14,14,19,7,1,13.5,16.5,4.0,11.33
Student_104,IDL,3,4,4,18,19,8,3.5,11.0,13.5,9.33
Student_105,IDISC,8,2,17,1,13,7,5.0,9.0,10.0,8.0
Student_106,IDL,18,13,0,16,0,10,15.5,8.0,5.0,9.5
Student_107,IDISC,17,11,7,0,16,5,14.0,3.5,10.5,9.33
Student_108,IDL,10,5,0,15,7,17,7.5,7.5,12.0,9.0
Student_109,IDL,3,13,16,19,7,11,8.0,17.5,9.0,11.5
Student_110,IDL,11,12,14,16,12,15,11.5,15.0,13.5,13.33
Student_111,IDL,12,7,15,8,3,9,9.5,11.5,6.0,9.0
Student_112,IDISC,15,18,12,18,1,7,16.5,15.0,4.0,11.83
Student_113,IDL,3,12,9,5,15,12,7.5,7.0,13.5,9.33
Student_114,ISEOC,12,4,1,2,11,0,8.0,1.5,5.5,5.0
Student_115,IDL,17,15,9,4,0,4,16.0,6.5,2.0,8.17
Student_116,ISEOC,4,11,6,4,1,19,7.5,5.0,10.0,7.5
Student_117,IDL,8,18,8,17,14,6,13.0,12.5,10.0,11.83
Student_118,ISEOC,12,20,1,14,3,10,16.0,7.5,6.5,10.0
Student_119,ISEOC,7,19,18,16,9,1,13.0,17.0,5.0,11.67
Student_120,IDL,1,13,4,10,12,14,7.0,7.0,13.0,9.0
Student_121,IDISC,10,10,16,0,19,0,10.0,8.0,9.5,9.17
Student_122,IDL,19,8,3,14,14,14,13.5,8.5,14.0,12.0
Student_123,ISEOC,16,10,12,11,12,4,13.0,11.5,8.0,10.83
Student_124,IDISC,4,19,12,17,2,20,11.5,14.5,11.0,12.33
Student_125,IDL,12,11,13,10,19,19,11.5,11.5,19.0,14.0
Student_126,IDL,12,6,8,6,8,13,9.0,7.0,10.5,8.83
Student_127,ISEOC,11,10,17,9,15,15,10.5,13.0,15.0,12.83
Student_128,IDISC,6,9,5,16,9,18,7.5,10.5,13.5,10.5
Student_129,ISEOC,10,5,8,14,17,18,7.5,11.0,17.5,12.0
Student_130,IDL,0,0,14,6,11,8,0.0,10.0,9.5,6.5
Student_131,IDISC,14,6,2,18,10,14,10.0,10.0,12.0,10.67
Student_132,IDL,10,2,14,7,5,10,6.0,10.5,7.5,8.0
Student_133,IDL,1,1,14,1,1,8,1.0,7.5,4.5,4.33
Student_134,ISEOC,14,8,8,16,20,12,11.0,12.0,16.0,13.0
Student_135,ISEOC,2,17,11,17,15,12,9.5,14.0,13.5,12.33
Student_136,IDL,17,16,14,8,12,15,16.5,11.0,13.5,13.67
Student_137,IDISC,3,11,9,12,2,6,7.0,10.5,4.0,7.17
Student_138,ISEOC,10,8,8,17,14,8,9.0,12.5,11.0,10.83
Student_139,ISEOC,18,10,8,5,16,15,14.0,6.5,15.5,12.0
Student_140,IDISC,2,18,14,7,14,17,10.0,10.5,15.5,12.0
Student_141,IDISC,9,11,16,20,8,13,10.0,18.0,10.5,12.83
Student_142,IDISC,16,7,9,10,9,9,11.5,9.5,9.0,10.0
Student_143,IDL,3,9,17,10,10,6,6.0,13.5,8.0,9.17
Student_144,ISEOC,0,9,7,20,11,14,4.5,13.5,12.5,10.17
Student_145,IDL,5,6,1,11,18,10,5.5,6.0,14.0,8.5
Student_146,IDISC,5,11,18,2,8,17,8.0,10.0,12.5,10.17
Student_147,IDISC,10,10,15,13,9,1,10.0,14.0,5.0,9.67
Student_148,IDL,8,7,19,20,10,15,7.5,19.5,12.5,13.17
Student_149,IDL,5,18,3,11,4,7,11.5,7.0,5.5,8.0
Student_150,IDISC,16,6,16,0,10,1,11.0,8.0,5.5,8.17
Student_151,IDL,3,1,2,19,14,1,2.0,10.5,7.5,6.67
Student_152,ISEOC,6,2,3,7,0,2,4.0,5.0,1.0,3.33
Student_153,ISEOC,2,4,8,2,8,9,3.0,5.0,8.5,5.5
Student_154,ISEOC,5,6,18,19,1,5,5.5,18.5,3.0,9.0
Student_155,IDL,7,20,18,2,18,10,13.5,10.0,14.0,12.5
Student_156,IDL,4,8,3,3,2,8,6.0,3.0,5.0,4.67
Student_157,ISEOC,17,9,6,20,3,20,13.0,13.0,11.5,12.5
Student_158,IDL,12,16,15,12,8,7,14.0,13.5,7.5,11.67
Student_159,ISEOC,16,8,2,16,14,5,12.0,9.0,9.5,10.17
Student_160,IDISC,19,5,7,17,17,11,12.0,12.0,14.0,12.67
Student_161,IDL,12,5,7,13,14,16,8.5,10.0,15.0,11.17
Student_162,ISEOC,17,5,2,7,13,6,11.0,4.5,9.5,8.33
Student_163,ISEOC,12,11,16,20,9,5,11.5,18.0,7.0,12.17
Student_164,IDISC,9,8,8,18,17,16,8.5,13.0,16.5,12.67
Student_165,IDL,15,3,7,18,17,10,9.0,12.5,13.5,11.67
Student_166,IDISC,12,10,2,16,3,14,11.0,9.0,8.5,9.5
Student_167,ISEOC,5,1,20,12,9,8,3.0,16.0,8.5,9.17
Student_168,IDL,14,12,0,16,20,14,13.0,8.0,17.0,12.67
Student_169,IDISC,11,7,11,11,2,9,9.0,11.0,5.5,8.5
Student_170,IDL,9,8,15,15,16,5,8.5,15.0,10.5,11.33
Student_171,IDISC,12,17,19,17,17,7,14.5,18.0,12.0,14.83
Student_172,IDL,9,15,19,4,12,3,12.0,11.5,7.5,10.33
Student_173,ISEOC,3,12,1,9,0,13,7.5,5.0,6.5,6.33
Student_174,ISEOC,20,5,17,11,19,19,12.5,14.0,19.0,15.17
Student_175,IDL,14,20,7,7,4,0,17.0,7.0,2.0,8.67
Student_176,ISEOC,10,5,16,20,20,1,7.5,18.0,10.5,12.0
Student_177,ISEOC,14,7,7,15,1,15,10.5,11.0,8.0,9.83
Student_178,ISEOC,5,11,14,3,5,4,8.0,8.5,4.5,7.0
Student_179,IDL,11,4,3,20,12,7,7.5,11.5,9.5,9.5
Student_180,ISEOC,9,4,13,16,13,5,6.5,14.5,9.0,10.0
Student_181,IDL,1,5,2,8,17,18,3.0,5.0,17.5,8.5
Student_182,IDISC,7,18,14,13,5,12,12.5,13.5,8.5,11.5
Student_183,IDISC,20,9,11,13,9,13,14.5,12.0,11.0,12.5
Student_184,ISEOC,14,10,2,3,4,0,12.0,2.5,2.0,5.5
Student_185,IDISC,14,8,20,9,9,17,11.0,14.5,13.0,12.83
Student_186,IDL,10,2,3,17,16,9,6.0,10.0,12.5,9.5
Student_187,IDL,9,13,9,0,18,16,11.0,4.5,17.0,10.83
Student_188,ISEOC,14,16,16,4,7,13,15.0,10.0,10.0,11.67
Student_189,IDL,13,0,20,16,8,7,6.5,18.0,7.5,10.67
Student_190,IDL,17,12,10,13,12,16,14.5,11.5,14.0,13.33
Student_191,IDISC,6,20,5,3,13,17,13.0,4.0,15.0,10.67
Student_192,IDISC,17,6,9,12,7,5,11.5,10.5,6.0,9.33
Student_193,IDISC,15,8,3,5,7,10,11.5,4.0,8.5,8.0
Student_194,IDL,2,20,18,20,12,19,11.0,19.0,15.5,15.17
Student_195,IDISC,0,9,13,4,19,2,4.5,8.5,10.5,7.83
Student_196,IDISC,12,17,6,7,7,10,14.5,6.5,8.5,9.83
Student_197,IDISC,2,2,0,10,16,4,2.0,5.0,10.0,5.67
Student_198,IDISC,15,17,8,5,3,14,16.0,6.5,8.5,10.33
Student_199,IDL,0,9,1,2,13,9,4.5,1.5,11.0,5.67
Student_200,IDL,16,19,5,12,7,0,17.5,8.5,3.5,9.83
Student_201,IDL,6,20,3,13,10,3,13.0,8.0,6.5,9.17
Student_202,IDL,20,14,4,0,10,1,17.0,2.0,5.5,8.17
Student_203,IDL,18,1,18,0,5,1,9.5,9.0,3.0,7.17
Student_204,ISEOC,7,8,11,0,13,13,7.5,5.5,13.0,8.67
Student_205,IDL,20,10,7,13,16,9,15.0,10.0,12.5,12.5
Student_206,IDISC,13,17,17,12,17,3,15.0,14.5,10.0,13.17
Student_207,ISEOC,20,12,20,16,17,14,16.0,18.0,15.5,16.5
Student_208,ISEOC,11,3,13,16,15,7,7.0,14.5,11.0,10.83
Student_209,IDISC,15,5,20,15,18,19,10.0,17.5,18.5,15.33
Student_210,ISEOC,3,20,18,3,18,14,11.5,10.5,16.0,12.67
Student_211,IDISC,16,16,10,11,17,3,16.0,10.5,10.0,12.17
Student_212,IDISC,13,3,3,2,14,20,8.0,2.5,17.0,9.17
Student_213,IDISC,4,19,7,20,1,10,11.5,13.5,5.5,10.17
Student_214,IDL,4,8,14,11,1,2,6.0,12.5,1.5,6.67
Student_215,IDL,6,8,12,8,0,19,7.0,10.0,9.5,8.83
Student_216,ISEOC,20,4,8,11,8,18,12.0,9.5,13.0,11.5
Student_217,ISEOC,17,17,18,6,20,16,17.0,12.0,18.0,15.67
Student_218,ISEOC,1,4,5,14,20,11,2.5,9.5,15.5,9.17
Student_219,IDL,20,5,7,1,7,7,12.5,4.0,7.0,7.83
Student_220,ISEOC,7,9,13,15,0,14,8.0,14.0,7.0,9.67
Student_221,IDL,16,3,2,18,20,20,9.5,10.0,20.0,13.17
Student_222,IDISC,12,2,4,15,10,16,7.0,9.5,13.0,9.83
Student_223,IDISC,17,3,5,1,18,1,10.0,3.0,9.5,7.5
Student_224,ISEOC,1,13,15,15,7,10,7.0,15.0,8.5,10.17
Student_225,ISEOC,5,8,7,20,3,6,6.5,13.5,4.5,8.17
Student_226,ISEOC,4,19,6,17,12,8,11.5,11.5,10.0,11.0
Student_227,IDL,8,18,14,17,13,11,13.0,15.5,12.0,13.5
Student_228,ISEOC,13,1,16,17,12,14,7.0,16.5,13.0,12.17
Student_229,ISEOC,13,12,8,10,18,13,12.5,9.0,15.5,12.33
Student_230,IDISC,20,8,17,9,13,18,14.0,13.0,15.5,14.17
Student_231,ISEOC,0,7,8,13,2,15,3.5,10.5,8.5,7.5
Student_232,IDISC,20,6,17,2,16,4,13.0,9.5,10.0,10.83
Student_233,IDL,19,16,0,3,2,3,17.5,1.5,2.5,7.17
Student_234,IDISC,5,9,5,17,20,3,7.0,11.0,11.5,9.83
Student_235,IDISC,11,11,9,15,9,4,11.0,12.0,6.5,9.83
Student_236,ISEOC,9,11,6,3,0,5,10.0,4.5,2.5,5.67
Student_237,IDL,1,12,19,9,18,14,6.5,14.0,16.0,12.17
Student_238,ISEOC,6,0,8,4,19,9,3.0,6.0,14.0,7.67
Student_239,IDL,6,11,18,9,17,0,8.5,13.5,8.5,10.17
Student_240,ISEOC,5,12,7,18,20,17,8.5,12.5,18.5,13.17
Student_241,ISEOC,13,4,6,13,16,6,8.5,9.5,11.0,9.67
Student_242,ISEOC,14,2,13,13,12,16,8.0,13.0,14.0,11.67
Student_243,IDL,16,7,14,11,8,14,11.5,12.5,11.0,11.67
Student_244,IDL,19,17,19,20,10,6,18.0,19.5,8.0,15.17
Student_245,IDL,4,15,12,3,9,2,9.5,7.5,5.5,7.5
Student_246,ISEOC,5,3,19,18,5,2,4.0,18.5,3.5,8.67
Student_247,IDISC,10,5,3,3,0,13,7.5,3.0,6.5,5.67
Student_248,IDISC,12,2,2,3,3,6,7.0,2.5,4.5,4.67
Student_249,ISEOC,6,18,16,19,7,6,12.0,17.5,6.5,12.0
Student_250,IDISC,17,14,19,16,18,13,15.5,17.5,15.5,16.17
Student_251,IDISC,19,1,8,8,7,1,10.0,8.0,4.0,7.33
Student_252,IDL,1,5,0,12,3,16,3.0,6.0,9.5,6.17
Student_253,IDL,17,0,15,16,6,19,8.5,15.5,12.5,12.17
Student_254,IDISC,11,0,5,12,13,0,5.5,8.5,6.5,6.83
Student_255,ISEOC,1,8,2,4,2,20,4.5,3.0,11.0,6.17
Student_256,IDL,4,6,7,18,12,12,5.0,12.5,12.0,9.83
Student_257,IDISC,4,13,2,19,3,15,8.5,10.5,9.0,9.33
Student_258,IDL,1,20,20,6,19,0,10.5,13.0,9.5,11.0
Student_259,IDISC,8,18,10,6,8,10,13.0,8.0,9.0,10.0
Student_260,IDISC,16,16,17,14,6,18,16.0,15.5,12.0,14.5
Student_261,IDL,16,0,6,14,0,9,8.0,10.0,4.5,7.5
Student_262,IDL,15,0,6,4,3,11,7.5,5.0,7.0,6.5
Student_263,ISEOC,17,14,20,1,9,14,15.5,10.5,11.5,12.5
Student_264,IDL,20,6,10,5,11,6,13.0,7.5,8.5,9.67
Student_265,IDL,17,6,14,14,4,16,11.5,14.0,10.0,11.83
Student_266,IDL,8,20,8,20,0,15,14.0,14.0,7.5,11.83
Student_267,IDISC,10,1,2,7,2,16,5.5,4.5,9.0,6.33
Student_268,IDISC,13,17,5,14,10,14,15.0,9.5,12.0,12.17
Student_269,IDISC,15,0,2,5,19,16,7.5,3.5,17.5,9.5
Student_270,IDL,14,16,11,5,0,20,15.0,8.0,10.0,11.0
Student_271,IDL,20,17,11,15,10,0,18.5,13.0,5.0,12.17
Student_272,IDL,15,14,10,15,13,0,14.5,12.5,6.5,11.17
Student_273,ISEOC,19,19,16,1,12,9,19.0,8.5,10.5,12.67
Student_274,IDL,9,8,1,15,19,20,8.5,8.0,19.5,12.0
Student_275,IDISC,6,10,6,2,19,9,8.0,4.0,14.0,8.67
Student_276,ISEOC,8,11,13,20,1,9,9.5,16.5,5.0,10.33
Student_277,IDISC,19,13,1,10,10,3,16.0,5.5,6.5,9.33
Student_278,IDL,9,15,1,17,5,11,12.0,9.0,8.0,9.67
Student_279,ISEOC,0,14,1,19,17,8,7.0,10.0,12.5,9.83
Student_280,IDISC,10,18,16,13,9,11,14.0,14.5,10.0,12.83
Student_281,IDL,0,12,7,8,13,5,6.0,7.5,9.0,7.5
Student_282,ISEOC,14,11,5,1,4,14,12.5,3.0,9.0,8.17
Student_283,IDL,0,11,8,2,5,5,5.5,5.0,5.0,5.17
Student_284,IDISC,13,8,4,6,0,4,10.5,5.0,2.0,5.83
Student_285,ISEOC,5,11,4,18,10,20,8.0,11.0,15.0,11.33
Student_286,IDL,2,5,17,2,18,8,3.5,9.5,13.0,8.67
Student_287,ISEOC,10,19,9,5,4,0,14.5,7.0,2.0,7.83
Student_288,IDISC,12,18,20,18,8,6,15.0,19.0,7.0,13.67
Student_289,ISEOC,6,11,7,0,11,7,8.5,3.5,9.0,7.0
Student_290,ISEOC,16,20,16,4,4,20,18.0,10.0,12.0,13.33
Student_291,ISEOC,15,14,2,0,3,19,14.5,1.0,11.0,8.83
Student_292,IDISC,17,13,10,20,7,16,15.0,15.0,11.5,13.83
Student_293,IDISC,9,16,5,18,11,12,12.5,11.5,11.5,11.83
Student_294,ISEOC,12,5,2,8,16,11,8.5,5.0,13.5,9.0
Student_295,IDL,15,12,16,10,10,0,13.5,13.0,5.0,10.5
Student_296,ISEOC,6,13,3,1,15,12,9.5,2.0,13.5,8.33
Student_297,IDISC,14,12,12,17,7,7,13.0,14.5,7.0,11.5
Student_298,IDISC,4,5,5,11,11,5,4.5,8.0,8.0,6.83
Student_299,ISEOC,9,3,16,6,16,16,6.0,11.0,16.0,11.0
Student_300,IDISC,1,9,18,11,3,8,5.0,14.5,5.5,8.33
Student_301,IDISC,6,12,10,15,19,7,9.0,12.5,13.0,11.5
Student_302,IDL,19,3,12,8,0,8,11.0,10.0,4.0,8.33
Student_303,ISEOC,2,15,17,16,7,4,8.5,16.5,5.5,10.17
Student_304,IDISC,10,17,0,19,15,13,13.5,9.5,14.0,12.33
Student_305,IDL,19,11,10,5,19,10,15.0,7.5,14.5,12.33
Student_306,ISEOC,16,13,8,4,3,17,14.5,6.0,10.0,10.17
Student_307,ISEOC,4,12,1,15,15,11,8.0,8.0,13.0,9.67
Student_308,IDISC,1,3,3,7,12,12,2.0,5.0,12.0,6.33
Student_309,ISEOC,6,13,18,4,6,8,9.5,11.0,7.0,9.17
Student_310,IDL,8,15,19,17,6,14,11.5,18.0,10.0,13.17
Student_311,IDISC,3,18,18,6,7,3,10.5,12.0,5.0,9.17
Student_312,IDL,19,15,19,3,6,0,17.0,11.0,3.0,10.33
Student_313,IDISC,19,20,15,9,16,16,19.5,12.0,16.0,15.83
Student_314,IDL,6,17,12,15,19,6,11.5,13.5,12.5,12.5
Student_315,ISEOC,15,9,10,7,16,15,12.0,8.5,15.5,12.0
Student_316,IDISC,1,6,17,17,7,9,3.5,17.0,8.0,9.5
Student_317,ISEOC,5,13,18,0,9,5,9.0,9.0,7.0,8.33
Student_318,ISEOC,6,15,16,10,2,8,10.5,13.0,5.0,9.5
Student_319,IDL,7,6,12,9,2,7,6.5,10.5,4.5,7.17
Student_320,IDL,11,4,11,9,11,4,7.5,10.0,7.5,8.33
Student_321,IDL,12,2,3,17,2,2,7.0,10.0,2.0,6.33
Student_322,ISEOC,6,14,14,16,18,17,10.0,15.0,17.5,14.17
Student_323,IDISC,11,18,16,6,19,3,14.5,11.0,11.0,12.17
Student_324,IDL,1,5,10,18,12,18,3.0,14.0,15.0,10.67
Student_325,IDL,9,14,19,9,20,17,11.5,14.0,18.5,14.67
Student_326,ISEOC,13,9,12,13,0,5,11.0,12.5,2.5,8.67
Student_327,IDL,15,12,4,19,20,12,13.5,11.5,16.0,13.67
Student_328,IDL,15,19,4,9,4,7,17.0,6.5,5.5,9.67
Student_329,ISEOC,14,0,8,13,14,3,7.0,10.5,8.5,8.67
Student_330,IDISC,0,1,3,12,15,5,0.5,7.5,10.0,6.0
Student_331,IDISC,18,5,4,0,5,1,11.5,2.0,3.0,5.5
Student_332,ISEOC,13,17,5,17,2,1,15.0,11.0,1.5,9.17
Student_333,IDL,18,17,9,17,10,6,17.5,13.0,8.0,12.83
Student_334,IDL,11,20,11,2,2,4,15.5,6.5,3.0,8.33
Student_335,IDL,10,1,19,13,13,7,5.5,16.0,10.0,10.5
Student_336,IDISC,3,1,20,3,0,3,2.0,11.5,1.5,5.0
Student_337,ISEOC,3,3,1,19,2,11,3.0,10.0,6.5,6.5
Student_338,ISEOC,2,3,7,18,12,11,2.5,12.5,11.5,8.83
Student_339,IDISC,8,4,2,7,3,1,6.0,4.5,2.0,4.17
Student_340,IDL,11,13,14,16,2,6,12.0,15.0,4.0,10.33
Student_341,IDL,0,1,2,14,14,10,0.5,8.0,12.0,6.83
Student_342,IDISC,0,13,3,0,18,10,6.5,1.5,14.0,7.33
Student_343,ISEOC,12,5,17,15,13,11,8.5,16.0,12.0,12.17
Student_344,ISEOC,10,14,14,2,16,3,12.0,8.0,9.5,9.83
Student_345,IDISC,6,15,13,11,16,15,10.5,12.0,15.5,12.67
Student_346,ISEOC,4,2,19,9,8,13,3.0,14.0,10.5,9.17
Student_347,ISEOC,14,0,18,17,2,20,7.0,17.5,11.0,11.83
Student_348,IDISC,9,12,15,4,15,20,10.5,9.5,17.5,12.5
Student_349,IDL,6,11,2,11,9,2,8.5,6.5,5.5,6.83
Student_350,IDISC,1,0,19,8,2,6,0.5,13.5,4.0,6.0
Student_351,ISEOC,16,7,12,8,2,13,11.5,10.0,7.5,9.67
Student_352,ISEOC,11,4,18,6,20,17,7.5,12.0,18.5,12.67
Student_353,ISEOC,12,2,0,20,5,14,7.0,10.0,9.5,8.83
Student_354,ISEOC,1,16,4,17,20,9,8.5,10.5,14.5,11.17
Student_355,IDISC,2,5,18,3,9,20,3.5,10.5,14.5,9.5
Student_356,IDL,18,1,19,9,7,13,9.5,14.0,10.0,11.17
Student_357,IDL,11,6,12,2,3,16,8.5,7.0,9.5,8.33
Student_358,IDISC,6,4,15,0,12,6,5.0,7.5,9.0,7.17
Student_359,IDL,10,13,2,19,20,12,11.5,10.5,16.0,12.67
Student_360,IDL,3,8,10,15,17,1,5.5,12.5,9.0,9.0
Student_361,ISEOC,5,4,10,2,9,4,4.5,6.0,6.5,5.67
Student_362,ISEOC,6,3,16,19,1,4,4.5,17.5,2.5,8.17
Student_363,IDL,0,1,11,20,9,3,0.5,15.5,6.0,7.33
Student_364,IDISC,12,13,15,17,5,0,12.5,16.0,2.5,10.33
Student_365,ISEOC,0,4,7,18,5,12,2.0,12.5,8.5,7.67
